Station, Process_#, Process_Name, 8.5x24, People, Responsible, 206129
4, 4410, Trim Ramp Door Opening, 20, , SR, 
4, 4420, Install Windows (All Std), 30, , SR, 
4, 4450, Day and Night Shades, 20, , RW, 
4, 4460, ATP Kickplate, 45, , RW, 
4, 4470, Hook Up A/C (1st), 31, , TS, 
4, 4490, Cove, 120, , RW, 
4, 4500, Trim Interior, 60, , RW, 
4, 4520, Vents Garnish - Roof, 5, , SR, 
4, 4580, Towel Bar, 8, , RW, 
4, 4590, Install Mirror, 5, , RW, 
4, 4600, Shower Curtain Rod, 5, , RW, 
4, 4610, Install Toilet, 7, , JR, 
4, 4620, LP Test - Water Test, 25, 25, SR, 
4, 4650, Install Entrance Door, 7, , NT, 
4, 4670, Grab Handle Entrance Door, 5, , NT, 
4, 4680, Trim Entrance Door, 20, , NT, 
4, 4690, Refer Panels, 5, , RW, 
4, 4700, Awning cradle                                                             , 5, , NT, 
4, 4710, Awning, 30, , NT, 
4, 4720, Front Baggage Door, 10, , NT, 
4, 4730, Bathdoor, 10, , RW, 
4, 4740, Trim Bathroom Door, 15, , RW, 
4, 4780, Prep Bed Door - RS, 33, , SR, 
4, 4800, Install Bed Door - RS, 217, , MH, 
4, 4880, Install Dinette CS - Rear, 45, , RW, 
4, 4920, Flood Test, 80, , SR, 
4, 4970, install & hook up LP tanks, 15, , SR, 
Station, Process_#, Process_Name, 7.0x20, People, Responsible, 206112
3, 3010, install bathroom upper cab. & countertop, 37, , J.R., 
3, 3020, install bath backsplash, 8, , J.R., 
3, 3030, set linen in bathroom, 48, , J.R., 
3, 3040, set kitchen broom closet, 50, , J.R., 
3, 3050, install bargman cord & junction box, 65, , TS, 
3, 3060, wire electric jack, 10, , TS, 
3, 3070, Install Battery, 20, , TS, 
3, 3100, Loom Wires Where Needed, 27, , TS, 
3, 3110, Low point drains & water lines.     (std. unit), 26, , JR, 
3, 3120, Install Shower, 8, , JR, 
3, 3130, Shower Faucet, 2, , JR, 
3, 3140, Set Bath Wall and Drill Holes for Plumbing and Wiring, 20, , JR, 
3, 3150, Plumb Drain Vents, 10, , JR, 
3, 3160, Panel Interior Bathroom, 10, , JR, 
3, 3170, Panel Outside of Bath Wall, 9, , JR, 
3, 3180, Install remainder of ceiling panals, 30, , JR, 
3, 3190, Panel All Interior Walls, 120, , JR, 
3, 3210, Install and Hook Up Front Plumbing Kit, 13, , JR, 
3, 3220, Mount pump & hook up electric, 5, , JR, 
3, 3230, Install LP Lines, 20, , JR, 
3, 3240, Set Furnace and Install Furnace Vent, 20, , JR, 
3, 3250, Refer Cabinet, 9, , JR, 
3, 3260, Trim Refer Cabinet, 10, , JR, 
3, 3270, Finish installing shower (rivets) & shower head with accesseries, 18, , JR, 
3, 3300, Drill External Speaker Holes, 10, , MH, 
3, 3310, Install Water Heater, 10, , JR, 
3, 3320, Install Plumbing and Vent Pipes, 20, , JR, 
3, 3330, Insulate, 90, , RS, 
3, 3340, Insulate Front End, 5, , RS, 
3, 3360, Hang Rear Corners Stainless Steel, 8, , MH, 
3, 3370, Prep for CS Metal, 15, , MH, 
3, 3380, Degabond CS, 5, , MH, 
3, 3390, Hang CS Metal, 25, , MH, 
3, 3420, Route CS Metal, 10, , MH, 
3, 3430, Prep for RS Metal, 1, , MH, 
3, 3440, Degabond RS, 5, , MH, 
3, 3450, Hang RS Metal, 25, , MH, 
3, 3480, Route RS Metal, 10, , MH, 
3, 3510, Prep Front End Metal, 5, , MH, 
3, 3520, Metal Front End, 25, , MH, 
3, 3530, Gravel Guard, 20, , MH, 
3, 3540, Front Trim Pieces, 15, , MH, 
3, 3550, Route Baggage Doors, 5, , MH, 
3, 3560, Set Furnace and Install Furnace Vent, 17, , JR, 
3, 3570, Set Kitchen Base, 7, , JR, 
3, 3580, Insulate Roof, 28, , MH, 
3, 3590, Metal Roof and Degabond, 21, , MH, 
3, 3600, Bend Down Edge of Metal Roof, 10, , MH, 
3, 3610, Intall Front Roof Trim Piece, 10, , MH, 
3, 3620, Upper Rub Rail, 45, , MH, 
3, 3630, Awning Rail, 10, , MH, 
3, 3640, Upper Clearance Lights, 15, , MH, 
3, 3660, Holes for Plumbing Vents, 6, , MH, 
3, 3670, Route Roof Vents, 5, , MH, 
3, 3690, Install Vents and Seal MaxAir Brackets, 15, , MH, 
3, 3710, Install Plumbing and Vent Covers and Tail Pipes, 15, , MH, 
3, 3750, Clean Roof, 6, , MH, 
3, 3760, Seal Roof, 20, , MH, 
3, 3770, Seal Under Front Radius and Down Front Edge, 18, , MH, 
3, 3780, Refer Vent Cap, 2, , MH, 
3, 3800, Upper Flow Thru Vent - Scene Light - Speakers, 35, , MH, 
3, 3810, Seal Under Rub Rail, 20, , MH, 
3, 3820, Kitchen Plumbing, 20, , JR, 
3, 3830, Install Kitchen Counter Top, 9, , JR, 
3, 3840, install kitchen backsplash, 8, , JR, 
3, 3850, Wire Upper Cleanance and Loading Lights (Int. Hook Up), 50, , MH, 
3, 3880, Flow Through Vents, 20, , MH, 
3, 3900, , , , , 
Station, Process_#, Process_Name, 8.5x28FB, People, Responsible, 206511
2, 2010, Top weld and axles, 40, , Tator, 
2, 2020, Install Coupler, 15, , RS, 
2, 2030, Install D-Rings, 52, , RS, 
2, 2050, cut first piece of flooring  (7' wide), , , RS, 
2, 2060, Level Frame, 5, , BM, 
2, 2070, Grind Top Welds, 20, , RS, 
2, 2080, Set Wheel wells or Wheel Well Metal, 5, , RS, 
2, 2090, Install flooring ( 2 people), 160, , BM, 
2, 2120, Drill Plumbing Holes and Toilet Drains, 12, , RS, 
2, 2130, Drill Holes for Gas Lines and Low Points, 10, , RS, 
2, 2140, install 3 inch grommmets for holes, 10, , BM, 
2, 2150, mark wall lines on floor/cover floor, 40, , RS, 
2, 2160, cover floor, 20, , BM, 
2, 2170, Set Walls - Rear Header - Front Walls, 30, , LS, 
2, 2180, Set and Weld Roof, 45, , LS, 
2, 2190, Final Weld on Sidewalls, 50, , LS, 
2, 2200, final weld on front walls, 20, , RS, 
2, 2210, Drill Holes for Wiring, 40, , RS, 
2, 2220, Grommet All Holes Where Needed, 10, , RS, 
2, 2600, Install Ground Wires, 10, , RS, 
2, 2230, Rough Wire Unit (Front Bedroom: 4.5 hrs), 150, , BM, 
2, 2300, Dinette RS - Rear, 1, , , 
2, 2320, A/C - 1st, 8, , , 
2, 2410, Loading Lights, 3.5, , , 
2, 2450, Grind Sidewalls, 35, , RS, 
2, 2460, Square Front and Rear Ends, 10, , LS, 
2, 2470, Cut Out Flooring for Doorway , 10, , RS, 
2, 2480, Caulk Floor Around Outside Edge, 5, , RS, 
2, 2490, Radius Blocks in Window Corners, 10, , RS, 
2, 2520, Azdel Front End, 30, , RS, 
2, 2530, Set Interior Front Wall and Cage, 25, , RS, 
2, 2540, Water Shelf, , , RS, 
2, 2550, Water Heater Hookup, , , BM, 
2, 2560, Undercoat Wheel Well, 5, , RS, 
2, 2570, Paint at Openings (Windows - etc), 5, , RS, 
2, 2580, VBH on End Tubes and at Wheels, 10, , RS, 
2, 2590, install /remove scaffold, 10, , , 
2, 2610, Azdel Inside Front Wall, 15, , RS, 
2, 2620, Install 1st Piece of Azdel On Each Side of Sidewall, 7, , RS, 
2, 2630, install rest of azdel, 100, , RS/BM, 
2, 2640, Route Azdel Openings, 10, , , 
2, 2670, Fasten Backers for Ducting and Above Cove, 15, , RS, 
2, 2680, insulate entire exterior, 100, , RS, 
2, 2690, Panel Interior Front Wall Bath, , , RS, 
2, 2700, caulk  exterior corners of wheelwells, 5, , RS, 
2, 2710, cut all holes for switches & recepts, 30, , BM, 
2, 2720, add backers for switches & recepts, 15, , BM, 
2, 2730, install recepts, 45, , BM, 
2, 2740, install switches, 20, , BM, 
Station, Process_#, Process_Name, 8.5x24, People, Responsible, 206493
1, 1030, Weld front radius wall x 2, 20, 1, Heath, 
1, 1040, Roof Truss Setup Time, 15, 1, , 
1, 1050, Weld roof trusses (2 min ea), 34, 1, , 
1, 1060, Weld roof parts together, 60, 1, , 
1, 1070, Table prep for 1 pc roof , 8, 1, Heath, 
1, 1080, Roof lay out, 17, 1, Heath, 
1, 1090, Tack roof , 8, 2, Heath;Leon, 
1, 1100, Weld 1 pc roof , 24, 2, Heath;Leon, 
1, 1110, A/C Ducting - Single, 10, 2, Heath;Leon, 
1, 1130, Upper front wall, 30, 1, , 
1, 1140, Lower front wall, 15, 1, , 
1, 1150, Prep Table, 10, 1, , 
1, 1160, Rear wall header , 20, 1, , 
1, 1170, Lay Out C/S Sidewall, 70, 2, Heath;Leon, 
1, 1200, Happijac - Rear, 5, 1, , 
1, 1230, Sofa - CS - Rear , 3, 1, , 
1, 1240, Dinette CS - Front, 3, 1, , 
1, 1280, tack C/S sidewall , 52, 2, Heath;Leon, 
1, 1290, weld C/S sidewall, 42, 2, Heath;Leon, 
1, 1310, Grind; tape; flip; weld; grind C/S sidewall, 28, 2, Heath;Leon, 
1, 1320, Lay Out R/S Sidewall, 90, 2, Heath;Leon, 
1, 1350, Happijac - Rear, 5, 1, , 
1, 1370, Sofa - RS - Rear , 3, 1, , 
1, 1410, tack R/S sidewall , 20, 2, Heath;Leon, 
1, 1420, weld R/S sidewall, 60, 2, Heath;Leon, 
1, 1440, Grind; tape; flip; weld; grind R/S sidewall, 28, 2, Heath;Leon, 
1, 1450, prep table, 15, 2, Heath;Leon, 
1, 1460, Lay Out Frame, 105, 2, Heath;Leon, 
1, 1470, Airline Track, 5, 1, , 
1, 1480, Tack Frame, 65, 2, Heath;Leon, 
1, 1490, Weld frame, 90, 2, Heath;Leon, 
1, 1500, 4in Addition Ht Sub Frame, 10, 1, , 
1, 1520, Tongue Tray - Generator, 7, 1, , 
1, 1530, Drill Weep Holes, 10, 1, , 
1, 1540, Fresh tank, 25, 1, , 
1, 1550, Waste tanks , 15, 1, , 
1, 1560, Fuel Tank, 25, 1, , 
1, 1570, Tank wiring and plumbing hook up, 70, 1, , 
1, 1580, 3 Season Plumbing, 20, 1, , 
1, 1590, Set Axles , 20, 1, , 
1, 1600, Brake wires, 20, 1, , 
1, 1610, Stamp VIN on Frame, 3, 1, , 
1, 1620, Run fuel lines & carb canister for Gen, 30, 1, , 
1, 1630, Run Fuel Line for Filling Station, 10, 1, , 
1, 1640, Install wheels, 15, 1, , 
1, 1650, Install Jacks; Sewer Hose; Spare Tire Rack; sewage hose holder, 25, 1, , 
1, 1660, Fasten Water Line, 35, 1, , 
1, 1670, Fresh Water Fill and Vent Hoses, 5, 1, , 
